codeunique,nom_long,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,mode_,train,rer,metro,tramway,val,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y
2,Vaires-Torcy,68419,Vaires - Torcy,43211,Vaires - Torcy,A01844,C01730, P,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,673418.2649,6863970.4528
6,Lognes,68123,Lognes,43152,Lognes,A01856,C01742, A,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,673078.4318,6859970.1834
7,Torcy,68129,Torcy,43207,Torcy,A01856,C01742, A,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,674687.4504,6860010.3257
9,Émerainville - Pontault-Combault,67897,Émerainville - Pontault-Combault,43074,Émerainville - Pontault-Combault,A01843,C01729, E,RER,1,1,0,0,0,0,0,0,0,0,SNCF,1,0,672031.7582,6856263.686
16,Trilport,68984,Trilport,47962,Trilport,A01844,C01730, P,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,696343.0315,6873364.7384
26,Marles-en-Brie,67604,Marles-en-Brie,43247,Marles-en-Brie,A01844,C01730, P,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,690362.3536,6848320.9528
36,Thieux-Nantouillet,69196,Thieux - Nantouillet,47960,Thieux - Nantouillet,A02175,C01738, K,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,676607.2166,6878736.4246
193,Monnerville,59429,Monnerville,43165,Monnerville,A02179,C01857,TER,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,628301.2007,6805784.2961
211,Mennecy,59984,Mennecy,47899,Mennecy,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,658102.6109,6830192.7876
217,Boussy-Saint-Antoine,62596,Boussy-Saint-Antoine,47924,Boussy-Saint-Antoine,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,665628.8221,6842419.4143
98,Châtou - Croissy,64483,Chatou - Croissy,53783,Chatou - Croissy,A01856,C01742, A,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,638100.6671,6865352.6049
111,Rosny-sur-Seine,66157,Rosny-sur-Seine,479059,Rosny-sur-Seine,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,599766.9049,6878366.1045
124,Chanteloup-les-Vignes,65443,Chanteloup-les-Vignes,47929,Chanteloup-les-Vignes,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,628803.0189,6874929.6884
221,Argenteuil,65063,Argenteuil,47875,Argenteuil,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,1,645644.2234,6872125.5748
224,Saint-Gratien,65305,Saint-Gratien,43201,Saint-Gratien,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,647714.3661,6873974.0035
238,Taverny,66557,Taverny,43206,Taverny,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,643124.2154,6880842.6953
240,Frépillon,66798,Frépillon,47580,Gare Frépillon,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,641301.8512,6883137.5286
241,Méry-sur-Oise,66934,Méry-sur-Oise,47582,Méry-sur-Oise,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,640889.083,6884545.0793
243,Enghien-les-Bains,65485,Enghien-les-Bains,43075,Enghien-les-Bains,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,649276.0335,6874978.7186
70,Bagneaux-sur-Loing,61145,Bagneaux-sur-Loing,47119,Bagneaux-sur-Loing,A01845,C01731, R,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,678015.3718,6792174.9016
76,Petit-Jouy-les-Loges,63594,Petit Jouy Les Loges,57674,Petit Jouy Les Loges,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,637309.3571,6852731.511
88,Plaisir-Grignon,64199,Plaisir - Grignon,47885,Plaisir - Grignon,A01847,C01736, N,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,1,622512.422,6859613.5503
90,Montfort-L'Amaury-Méré,63955,Montfort-l'Amaury - Méré,46850,Montfort-l'Amaury - Méré,A01847,C01736, N,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,613073.0003,6856487.5904
41,Longueville,61858,Longueville,47914,Longueville,A01844,C01730, P,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,1,718466.6694,6823752.4743
65,Vernou-sur-Seine,61450,Vernou-sur-Seine,43218,Vernou-sur-Seine,A01845,C01731, R,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,688305.2106,6809619.785
129,Conflans-Sainte-Honorine,66095,Conflans Sainte-Honorine,47447,Conflans-Sainte-Honorine,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,633979.6592,6877789.1132
132,Les Mureaux,65994,Les Mureaux,47881,Les Mureaux,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,620492.252,6877509.8516
134,Vernouillet-Verneuil,65691,Vernouillet - Verneuil,47964,Vernouillet - Verneuil,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,625570.2612,6876202.5792
156,Évry,60522,Évry,45745,Évry,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,659662.2083,6837260.3503
166,Orangis-Bois de l'Epine,60542,Orangis Bois de l'Épine,48489,Orangis Bois de l'Épine,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,656364.5492,6837515.7346
171,Bièvres,63404,Bièvres,43091,Bièvres,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,642349.1486,6850387.4887
172,Palaiseau,63175,Palaiseau,47009,Palaiseau,A01857,C01743, B,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,644504.6762,6846577.5281
183,Bures-sur-Yvette,62851,Bures-sur-Yvette,43103,Bures-sur-Yvette,A01857,C01743, B,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,638499.7812,6844337.1534
184,Brétigny,60247,Brétigny,43098,Brétigny,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,1,648544.6367,6834288.0923
189,Étréchy,59678,Étréchy,43081,Étréchy,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,640492.8805,6821791.2596
346,Le Parc de Saint-Maur,70359,Le Parc de Saint-Maur,43234,Le Parc de Saint-Maur,A01856,C01742, A,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,662274.7756,6856267.4524
347,Champigny,73042,Champigny,58270,Champigny,A01856,C01742, A,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,664035.4267,6856434.9978
353,Les Boullereaux-Champigny,73098,Les Boullereaux Champigny,58267,Les Boullereaux Champigny,A01843,C01729, E,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,664161.4176,6858420.5153
374,Pantin,72421,Pantin,43176,Pantin,A01843,C01729, E,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,656037.7705,6866623.2614
395,Bois-Colombes,72179,Bois-Colombes,51238,Bois-Colombes,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,646614.3629,6868496.6904
396,Colombes,72244,Colombes,43113,Colombes,A01852,C01739, J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,645726.4329,6869580.5532
399,Clichy-Levallois,72073,Clichy - Levallois,43112,Clichy - Levallois,A02176,C01740, L,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,648490.3539,6866632.6918
404,Le Blanc-Mesnil,72648,Le Blanc-Mesnil,46163,Le Blanc-Mesnil,A01857,C01743, B,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,661584.4481,6870386.1867
417,Le Chénay-Gagny,73266,Le Chénay Gagny,43127,Le Chénay Gagny,A01843,C01729, E,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,667206.3725,6864219.0849
421,Noisy-Champs,73163,Noisy - Champs,58937,Noisy - Champs,A01856,C01742, A,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,669181.3674,6860397.1861
422,Villeneuve-Saint-Georges,69568,Villeneuve-Saint-Georges,45067,Villeneuve-Saint-Georges,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,659269.6731,6847977.5816
425,Ablon,69554,Ablon,46387,Ablon,A01840,C01727, C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,657304.5761,6847424.3179
256,Villiers-le-Bel-Gonesse-Arnouville,66009,Villiers-le-Bel - Gonesse - Arnouville,43222,Villiers-le-Bel - Gonesse - Arnouville,A01842,C01728, D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,657276.6644,6877252.6001
264,Belloy-Saint-Martin,67126,Belloy - Saint-Martin,47524,Belloy - Saint-Martin,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,653352.0528,6888918.9527
272,Champagne-sur-Oise,67241,Champagne-sur-Oise,47590,Champagne-sur-Oise,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,644731.2902,6893177.3166
274,Valmondois,67107,Valmondois,47588,Valmondois,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,1,641699.3697,6888210.0589
278,Auvers-sur-Oise,67027,Auvers-sur-Oise,47918,Auvers-sur-Oise,A01849,C01737, H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,639738.4695,6885937.7579
316,Pont du Garigliano,74002,Pont du Garigliano - Hôpital Européen G. Pompidou,58798,Pont du Garigliano - Hôpital Européen G. Pompidou,A01840 / A01193,C01727 / C01391, C / TRAM 3a,RER / TRAM,0,1,0,1,0,0,0,0,1,0,SNCF,1,0,646453.5639,6860140.6142
