ID_Line,Name_Line,ShortName_Line,TransportMode,OperatorRef,OperatorName,NetworkName,ColourWeb_hexa,TextColourWeb_hexa,TextColourPrint_hexa,ID_GroupOfLines,ShortName_GroupOfLines,Picto
C01446,205,205,bus,1026,Transdev Pays de Fontainebleau,Fontainebleau - Moret,db0073,ffffff,ffffff,A01300,Cité Montézin Moret Loing et Orvanne <=> Gare Moret Veneux les Sablons,
C01766,116,116,bus,1013,RD Saclay,Paris Saclay,ff6600,ffffff,ffffff,A02133,Gare d'Epinay - EPINAY SUR ORGE,
C01787,95-31,95-31,bus,1007,Transdev Vexin,Vexin,d978ff,0,0,A02143,Marines (Ces Hautiers) - Arronville,
C02108,37B,37B,bus,1025,Keolis Portes et Val de Brie,Pays Briard,ceacd2,0,0,A00909,MELUN (place de l'ermitage/gare sncf)  - OZOUER-LE-VOULGIS (les Etards),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01299,351,351,bus,100,RATP,,f1c232,0,0,A01156,351,
C00060,13,13,bus,1037,Transdev Sud Yvelines,Centre et Sud Yvelines,fc96d0,ffffff,ffffff,A00056,MONTFORT-L'AMAURY - MERE - NEZEL,
C01740,L,L,rail,800,SNCF,Transilien,c4a4cc,0,0,A02176,Transilien L,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/ae6ca077709c1256ae09d9954aa8ece8
C00830,17A,17A,bus,1031,Transdev Vallée du Loing,Vallée du Loing - Nemours,006b2d,ffffff,ffffff,A00714,HERICY (FONTAINEROUX)  - BAGNEAUX-SUR-LOING (HOTEL DE VILLE),
C00011,5,5,bus,1025,Keolis Portes et Val de Brie,Pays Briard,c04192,ffffff,ffffff,A00009,EVRY-GREGY-SUR-YERRE - OZOIR-LA-FERRIERE,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00443,30-10,30-10,bus,30,Cars Lacroix,Parisis,00aad1,0,0,A00385,BEAUCHAMP (Gare)  - TAVERNY (Gare),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02293,3660,3660,bus,1009,Transdev Melun,Grand Melun,20a12e,0,0,A00690,ST-FARGEAU-PONTHIERRY (FERCOT)  - COLLEGE F VILLON - SAINT - FARGEAU - PONTHIERRY,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01430,Filéo Roissy Sud - Villeparisis Mitry-Mory(sur réservation),Fileo V,bus,1028,Keolis Roissy Pays de France Ouest,Roissy Ouest,003bd1,ffffff,ffffff,A02279,VILLEPARISIS (MARCHE) - ROISSYPOLE (RER),
C01105,69,69,bus,100,RATP,,82c8e6,0,0,A00959,69,
C01964,9D,9D,bus,1031,Transdev Vallée du Loing,Vallée du Loing - Nemours,a69514,ffffff,ffffff,A00706,VOULX (VAUCORNEILLE)  - NEMOURS (CITE SCOLAIRE),
C01619,404,404,bus,1038,TISSE,Evry Centre Essonne,99c400,ffffff,ffffff,A01469,RIS-ORANGIS (BOIS DE L'EPINE RER)  - EVRY (BRAS DE FER RER),
C02630,612,612,bus,1024,Transdev Nord Seine-Saint-Denis,Terres d'Envol,640082,ffffff,ffffff,A02789,Gare d'Aulnay-sous-Bois <> Gare de Sevran Livry,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02522,Soirée Tournan-Gretz,Soir,bus,1025,Keolis Portes et Val de Brie,Pays Briard,662583,ffffff,ffffff,A02700,Service divergent de soirée Tournan Gretz,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01326,485,485,bus,100,RATP,,ff5a00,0,0,A01772,485,
C01295,346,346,bus,100,RATP,,d2d200,0,0,A01152,346,
C01119,87,87,bus,100,RATP,,640082,ffffff,ffffff,A00973,87,
C02153,S2,S2,bus,1012,Keolis Argenteuil Boucles de Seine,Argenteuil - Boucles de Seine,c99eff,0,0,A02262,HOUILLES-CARRIERES (RER) - BERGES DE MONTESSON,
C01491,37,37,bus,1012,Keolis Argenteuil Boucles de Seine,Argenteuil - Boucles de Seine,ff8c57,0,0,A01331,VILLE-D'AVRAY - RUEIL-MALMAISON,
C02289,113,113,bus,1026,Transdev Pays de Fontainebleau,Fontainebleau - Moret,bd1220,ffffff,0,A02349,ST SAUVEUR (ECOLE) - PERTHES EN GÂTINAIS (COLLEGE),
C02222,63,63,bus,1010,Keolis Seine et Oise Est,Poissy - Les Mureaux,f78f4b,0,0,A02308,Verneuil (Les Clairières) - Poissy (Le Corbusier / Notre-Dame),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00028,501,501,bus,3,N4 Mobilités,Sit'bus,e2a34e,0,0,A00028,OZOIR-LA-FERRIERE (Intermarché)  - ROISSY-EN-BRIE (RER),
C02450,42,42,bus,1018,Francilité Ouest Essonne,Essonne Sud Ouest,5291ce,ffffff,ffffff,A02423,Gare de Dourdan - Gare de Dourdan (via hopital),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00544,439,439,bus,1023,Francilité Saint-Quentin-en-Yvelines,Saint-Quentin-en-Yvelines,79ac2b,ffffff,ffffff,A00456,VERSAILLES (CHATEAU RIVE GAUCHE GARE)  - VOISINS-LE-BRETONNEUX (CHAMFLEURY),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
