"Nom Station",0
"Cergy Préfecture (Cergy)",33
"Châtelet (Paris)",4
"Charles de Gaulle - Etoile (Paris)",1
"Cesson (Cesson)",2
L'Île-Saint-Denis,2
"Nation (Paris)",3
"La Varenne - Chennevières (Saint-Maur-des-Fossés)",1
"Maisons-Laffitte (Maisons-Laffitte)",1
"La Ferté-sous-Jouarre (La Ferté-sous-Jouarre)",2
"Cergy Saint-Christophe (Cergy)",1
"Cergy le Haut (Cergy)",1
"1 Rue du Premier Dragon (Pontoise)",1
"Gare Montparnasse (Paris)",5
"La Courneuve - Aubervilliers (La Courneuve)",3
"Drancy - Avenir (Drancy)",2
"Gare Saint-Lazare (Paris)",8
"Odéon (Paris)",2
"Versailles Chantiers (Versailles)",3
"Saint-Denis (Saint-Denis)",1
"Cernay (Ermont)",1
"Aéroport d'Orly (Terminaux 1-2-3) (Paray-Vieille-Poste)",1
"Gare du Nord (Paris)",1
"Champ de Mars Tour Eiffel (Paris)",2
"Vaires - Torcy (Vaires-sur-Marne)",1
"Porte de Vanves (Paris)",2
"Argentine (Paris)",2
"Chatelet ",1
"Gard du nord",1
Auber,1
"Cergy le haut",1
